"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844162020414980347","Wed Oct 09 23:44:23 +0000 2024","0","Udah 2 hari mager bgt berangkat kerja","1844162020414980347","","","in","Dimana Mana","0","0","0","https://x.com/littlemiss_gee/status/1844162020414980347","2413849327","littlemiss_gee"
"1844161761542537380","Wed Oct 09 23:43:21 +0000 2024","7","Gaada semangat-semangatnya berangkat kerja tapi kalo ga kerja gabisa haha hihi","1844161761542537380","","","in","bumi ","0","2","0","https://x.com/uprrit/status/1844161761542537380","1587392280851550208","uprrit"
"1844160570247029180","Wed Oct 09 23:38:37 +0000 2024","0","@PRFMnews Min waspada yang mau ke arah flyover kircon baik dari arah cicadas sama dari arah binong macetos gandos karna perbaikan jalan. Kenapa ga diperbaikinnya pas bukan jam berangkat kerja/sekolah sih...","1844160570247029180","","PRFMnews","in","","0","0","0","https://x.com/dinanursyamsya/status/1844160570247029180","51923980","dinanursyamsya"
"1843626253800353961","Wed Oct 09 23:38:35 +0000 2024","0","@reineyoona oke otw ambil. kamu berangkat kerja jamber? nanti sekalian aku jemput ","1844160560663081457","","reineyoona","in","Anastasia Daniela Jade Vianne.","0","1","0","https://x.com/fvoden/status/1844160560663081457","71975576","fvoden"
"1844157974283157993","Wed Oct 09 23:28:18 +0000 2024","0","Terpantau sudah eligible berangkat kerja. Keliyengan dikit ga ngaruh https://t.co/OOG5o6k8Ai","1844157974283157993","https://pbs.twimg.com/media/GZfD41XaAAA7DYX.jpg","","in","Coffee ♡","0","1","0","https://x.com/ar4bica/status/1844157974283157993","3265917246","ar4bica"
"1844157901268713986","Wed Oct 09 23:28:01 +0000 2024","0","ajg krl pagi pagi uda bau ketek mana di gerbong cewe. lu pada berangkat kerja mandi gasih anying","1844157901268713986","","","in","","0","0","0","https://x.com/melancholicll/status/1844157901268713986","1436942238332833795","melancholicll"
"1844157516374212757","Wed Oct 09 23:26:29 +0000 2024","0","Jam segini udah berangkat kerja itu luar biasa","1844157516374212757","","","in","لاَ إِلَهَ إِلاَّ اللهُ ","0","0","0","https://x.com/Ilah_official/status/1844157516374212757","1269713059","Ilah_official"
"1844157469641388174","Wed Oct 09 23:26:18 +0000 2024","0","hampir telat nontonin orang berangkat kerja","1844157469641388174","","","in","","0","0","0","https://x.com/diegorajaiblis/status/1844157469641388174","1805749064610590720","diegorajaiblis"
"1844154068966736090","Wed Oct 09 23:25:04 +0000 2024","0","@ikkobalejusto mau gak mau harus mandi pagi soalnya berangkat kerja wkwk","1844157159929794979","","ikkobalejusto","in","","0","0","0","https://x.com/iyasudadeh_/status/1844157159929794979","3097482314","iyasudadeh_"
"1844156182694592910","Wed Oct 09 23:21:11 +0000 2024","0","aku malas buat pergi kerja tapi harus ttp berangkat hhhh","1844156182694592910","","","in","","0","0","0","https://x.com/svastikalactea/status/1844156182694592910","1196493872014057472","svastikalactea"
"1844155302503121195","Wed Oct 09 23:17:41 +0000 2024","0","mulai minggu depan kita usahakan semangat berangkat kerja seperti minggu pertama awal kerja","1844155302503121195","","","in","","0","0","0","https://x.com/ditanyainkok/status/1844155302503121195","1290686594001715201","ditanyainkok"
"1844148353262620950","Wed Oct 09 23:16:54 +0000 2024","1","@amonblondina @tanyakanrl iya beneran seminggu sekali ngecas nya.. sehari 1 jam kurang (soalnya cuma untuk berangkat dan pulang naik motor) dari rumah ke tempat kerja kak kira-kira kalo sering dipake mungkin bisa tahan 3-4 hari full tanpa cas","1844155106582987227","","amonblondina","in","🗯️","0","0","0","https://x.com/svggest/status/1844155106582987227","461835326","svggest"
"1844131884093276299","Wed Oct 09 23:15:17 +0000 2024","0","@ohcegil Pasti mau berangkat kerja","1844154696971567117","","ohcegil","in","Denpasar, Bali","0","1","0","https://x.com/ka_ezzz/status/1844154696971567117","258888431","ka_ezzz"
"1844154080983421182","Wed Oct 09 23:12:50 +0000 2024","0","lemasss tidak mau berangkat kerja karena gaji belom masuk. ","1844154080983421182","","","in","","0","0","0","https://x.com/wonderbui/status/1844154080983421182","310658320","wonderbui"
"1844148986992787904","Wed Oct 09 22:52:35 +0000 2024","0","Berangkat kerja jam setengah 6 berasa jam 8 mana sampe tempat kerja gerah banget‍","1844148986992787904","","","in","","0","0","0","https://x.com/snurjannah62/status/1844148986992787904","3241214576","snurjannah62"
"1844065853933003075","Wed Oct 09 17:55:05 +0000 2024","0","@naeavis baru boboo???? bau bau melek sampai pagi ini aku baru pulang kerja kak padahal nanti pagi aku harus berangkat kerja lagi jam 8 ","1844074115625607327","","naeavis","in","","0","1","0","https://x.com/sunrinoo/status/1844074115625607327","1773201101116104704","sunrinoo"
"1844071169563164888","Wed Oct 09 17:43:22 +0000 2024","0","Biasanya berangkat kerja meskipun tau bakalan capek banget di kerjaan. Tapi masih ngerasa semangat karena ada temen-temen yang pasti bikin ketawa. Selama setahun kebelakang mereka adalah alasanku bisa tetep waras. Ketemu mereka tiap hari adalah obat.","1844071169563164888","","","in","","0","1","1","https://x.com/mikelapriliann/status/1844071169563164888","1809371051522158593","mikelapriliann"
"1844069727263744192","Wed Oct 09 17:37:38 +0000 2024","0","plss bekasi jg ada di hi gue kaget banget waktu itu berangkat kerja berasa lagi di tokyo mana sepoi sepoi","1844069727263744192","","","in","wagwan👐🏻","0","0","0","https://x.com/bbycio/status/1844069727263744192","1278618718126272512","bbycio"
"1844057772809388145","Wed Oct 09 16:50:08 +0000 2024","0","Ya ampun ini @pln_123 dari berangkat kerja sampai jam segini mau tidur listrik masih mati . Ini wilayah Jakarta loh masa kaya di pelosok aja. Ga becus banget pelayanannya.","1844057772809388145","","","in","","0","1","0","https://x.com/cikizakyy/status/1844057772809388145","1707245785354809344","cikizakyy"
"1844057090492596581","Wed Oct 09 16:47:25 +0000 2024","0","jadi inget playlist berangkat kerja waktu di amygo tu kalo ga lagu-lagunya mww ya lomba sihir sampe gue apal bener2 se-album :)","1844057090492596581","","","in","space ranger","0","0","0","https://x.com/bypinipie/status/1844057090492596581","164208636","bypinipie"
"1844056204508790847","Wed Oct 09 16:43:54 +0000 2024","0","Hadehh impian ku pake kemeja berangkat kerja belom kesampaian","1844056204508790847","","","in","","0","0","0","https://x.com/aquadest__/status/1844056204508790847","864449189354258432","aquadest__"
"1844037286872469673","Wed Oct 09 16:34:03 +0000 2024","0","@90christiann @mxtherfuckr Pak tp itu kan yg bapak naikin pas berangkat kerja tiap hari","1844053723120894036","","90christiann","in","1 Petrus 3:13","0","1","0","https://x.com/anakmanisj/status/1844053723120894036","1585250056856182785","anakmanisj"
